time,turnAngle,speed2d,alpha,alphaTarget,bRight,actorYaw,smState,futSpd,futDot,blockT
1496.102,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.132,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.162,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.196,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.230,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.259,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.290,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.319,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.350,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.381,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.412,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.442,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.474,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.509,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.542,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.575,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.612,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.650,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.680,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.710,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.741,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.773,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.803,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.837,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.868,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.897,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.926,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.956,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1496.986,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.015,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.044,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.074,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.103,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.132,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.160,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.191,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.221,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.252,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.281,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.311,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.340,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.369,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.399,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.429,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.458,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.487,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.517,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.547,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.576,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.607,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.636,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.666,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.695,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.725,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.755,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.784,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.814,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.844,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.874,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.906,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.948,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1497.976,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.007,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.035,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.066,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.096,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.127,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.155,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.185,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.215,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.245,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.273,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.303,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.333,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.362,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.392,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.423,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.452,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.482,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.511,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.541,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.571,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.601,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.631,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.660,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.692,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.726,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.763,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.795,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.825,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.855,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.884,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.914,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.945,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1498.975,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.005,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.035,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.064,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.093,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.122,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.152,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.182,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.214,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.246,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.277,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.306,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.336,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.366,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.397,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.427,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.456,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.486,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.515,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.545,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.573,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.604,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.635,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.664,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.695,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.724,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.754,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.785,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.814,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.844,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.874,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.903,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.932,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.961,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1499.993,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.034,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.064,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.094,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.125,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.154,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.183,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.212,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.241,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.270,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.301,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.330,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
1500.359,0.0,0.0,1.000,1.000,0,68.7,0,0,0.00,0.00
