time,alpha,bF,bR,walkMode,sideRotW,palmDotR,palmDotL,fingDotR
442.481,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.511,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.542,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.571,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.601,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.631,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.661,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.691,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.720,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.751,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.781,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.811,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.841,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.871,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.901,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.930,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.960,1.00,0,0,3,-1.000,-0.72,-1.00,0.14
442.990,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.022,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.052,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.081,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.111,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.141,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.170,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.200,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.230,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.260,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.289,1.00,0,0,3,-1.000,-0.72,-1.00,0.15
443.319,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
443.349,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
443.378,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
443.407,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
443.438,1.00,0,0,3,-1.000,-0.71,-1.00,0.15
443.468,1.00,0,0,3,-1.000,-0.71,-1.00,0.16
443.497,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.527,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.557,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.587,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.617,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.646,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.677,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.706,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.736,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.765,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.795,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.825,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.854,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
443.884,1.00,0,0,3,-1.000,-0.70,-1.00,0.16
